budget,popularity,revenue,runtime,vote_average,vote_count,title,id,cluster,distance
45000000,10.673296,0.0,96.0,5.9,136.0,The Indian in the Cupboard,11359,3,0.3189
20000000,4.733526,0.0,101.0,5.8,65.0,Eye for an Eye,17182,3,0.3527
0,7.137117,106269971.0,137.0,6.9,115.0,Mr. Holland's Opus,2054,0,0.3946
0,11.700115,0.0,89.0,6.2,192.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,10607,3,0.3834
15000000,6.387469,0.0,88.0,4.4,110.0,Bio-Dome,9536,1,0.5488
0,2.49535,2409225.0,92.0,2.8,32.0,Lawnmower Man 2: Beyond Cyberspace,11525,1,1.073
0,2.518051,0.0,95.0,6.0,43.0,French Twist,4482,3,0.3972
3500000,14.56965,28215918.0,91.0,7.0,513.0,Friday,10634,0,0.3776
19000000,15.339153,25836616.0,108.0,6.9,1644.0,From Dusk Till Dawn,755,0,0.3187
50000000,5.912223,11534477.0,91.0,4.1,54.0,Fair Game,11859,1,0.5835
0,3.3672760000000004,718490.0,96.0,7.0,36.0,Kicking and Screaming,28387,0,0.4188
20000000,12.758848,5781885.0,108.0,6.1,154.0,Screamers,9102,3,0.3329
0,5.756462,0.0,111.0,6.1,74.0,The Crossing Guard,27526,3,0.3903
44000000,6.010579,0.0,118.0,5.5,91.0,The Juror,9623,1,0.3486
8000000,4.486179,529766.0,116.0,6.7,87.0,Things to Do in Denver When You're Dead,400,3,0.3729
38000000,9.568603999999999,10300000.0,129.0,6.3,86.0,White Squall,10534,3,0.3148
16000000,4.814825,0.0,88.0,5.1,59.0,Dunston Checks In,17414,1,0.4296
0,8.963037,32.0,87.0,6.0,124.0,Black Sheep,13997,3,0.3926
8169363,6.848591000000001,8175346.0,90.0,6.1,190.0,Nick of Time,2086,3,0.3599
47000000,12.866139,12379402.0,104.0,5.7,77.0,Mary Reilly,9095,3,0.33
14000000,9.071127,19800000.0,100.0,4.5,113.0,Vampire in Brooklyn,12158,1,0.5235
0,4.670562,0.0,112.0,6.6,103.0,Beautiful Girls,9283,3,0.3914
50000000,14.957626000000001,150270147.0,108.0,5.7,459.0,Broken Arrow,9208,2,0.2954
3000000,12.108196000000001,0.0,98.0,7.9,695.0,La Haine,406,0,0.4912
0,4.8072230000000005,0.0,111.0,6.0,67.0,City Hall,11062,3,0.3938
7000000,6.904831,560069.0,91.0,6.8,285.0,Bottle Rocket,13685,0,0.3706
12000000,9.592265,41205099.0,92.0,6.5,767.0,Happy Gilmore,9614,3,0.3193
24000000,5.951077,182016617.0,135.0,7.3,397.0,The Bridges of Madison County,688,0,0.3551
0,6.902423,34327391.0,100.0,6.5,93.0,Muppet Treasure Island,10874,3,0.3826
72000000,20.755149,210000000.0,177.0,7.7,3404.0,Braveheart,197,2,0.533
1300000,14.092713,28262574.0,114.0,8.1,2632.0,Taxi Driver,103,0,0.5644
7500000,12.314278,32392047.0,91.0,6.5,245.0,Rumble in the Bronx,33542,3,0.3531
35000000,2.938293,0.0,108.0,5.8,37.0,Before and After,43566,3,0.3349
40000000,6.506983,70100000.0,117.0,5.4,139.0,Boomerang,11066,1,0.3444
0,6.778979,0.0,102.0,7.9,249.0,Chungking Express,11104,0,0.5192
7000000,5.579088,14702438.0,92.0,6.3,66.0,Flirting with Disaster,2074,3,0.3665
17000000,6.252377,0.0,95.0,4.4,105.0,The Neverending Story III: Escape from Fantasia,27793,1,0.5433
50000000,11.418917,9851610.0,95.0,5.1,45.0,Jade,11863,1,0.3941
0,5.184977,0.0,92.0,5.6,110.0,Down Periscope,9101,3,0.4152
60000000,3.4027489999999996,0.0,119.0,5.9,51.0,Up Close & Personal,9302,2,0.3313
31000000,6.499680000000001,185260553.0,117.0,6.7,303.0,The Birdcage,11000,3,0.3001
19000000,9.262184,141407024.0,118.0,6.5,1729.0,Bad Boys,9737,3,0.2912
0,2.375865,0.0,81.0,5.0,31.0,The Amazing Panda Adventure,30765,1,0.4909
0,7.415144000000001,0.0,102.0,7.2,472.0,The Basketball Diaries,10474,0,0.4119
52000000,18.761467,355237933.0,140.0,7.3,1637.0,Apollo 13,568,2,0.3458
28000000,10.193549,31596911.0,139.0,6.5,151.0,Rob Roy,11780,3,0.3216
0,3.137285,0.0,82.0,6.4,46.0,The Addiction,34996,3,0.3957
100000000,13.321354000000001,336529144.0,121.0,5.2,1529.0,Batman Forever,414,2,0.4446
0,10.142662,0.0,101.0,7.3,163.0,Belle de Jour,649,0,0.4374
11000000,5.391556,178104.0,91.0,5.9,57.0,Canadian Bacon,1775,3,0.369
50000000,12.812539,287928194.0,100.0,6.0,1045.0,Casper,8839,2,0.274
25000000,4.558992,13071518.0,128.0,6.8,69.0,Clockers,20649,0,0.3431
50000000,7.260574,152022101.0,109.0,5.0,214.0,Congo,10329,1,0.3816
53000000,8.657364999999999,157387195.0,116.0,7.0,508.0,Crimson Tide,8963,2,0.3015
0,3.6203879999999997,3174695.0,119.0,7.6,71.0,Crumb,26564,0,0.4819
7000000,6.950458,25405445.0,104.0,6.8,898.0,Desperado,8068,0,0.342
27000000,4.646132,16140822.0,102.0,6.3,88.0,Devil in a Blue Dress,8512,3,0.3228
90000000,15.138855,366101666.0,128.0,6.9,2094.0,Die Hard: With a Vengeance,1572,2,0.3866
0,7.120806,0.0,80.0,5.6,57.0,The Doom Generation,13552,3,0.4216
55000000,15.178338,127600435.0,134.0,5.9,319.0,First Knight,6520,2,0.2976
0,7.575098,0.0,95.0,5.5,130.0,Free Willy 2 - The Adventure Home,9073,1,0.4213
20000000,14.810519000000001,7563728.0,107.0,6.2,406.0,Hackers,10428,3,0.318
25000000,11.715867999999999,19075720.0,97.0,5.5,380.0,Johnny Mnemonic,9886,1,0.3447
90000000,8.184814999999999,113493481.0,96.0,5.4,643.0,Judge Dredd,9482,2,0.3817
0,3.676921,17014653.0,88.0,4.0,34.0,Jury Duty,19326,1,0.6844
1500000,4.877872,7412216.0,91.0,6.8,280.0,Kids,9344,0,0.386
500000,10.058328999999999,1148752.0,89.0,7.2,64.0,Living in Oblivion,9071,0,0.4331
0,4.102409,0.0,119.0,5.9,87.0,Lord of Illusions,8973,3,0.3973
6000000,8.255469999999999,2122561.0,94.0,6.8,400.0,Mallrats,2293,0,0.3666
15000000,7.024227000000001,66000000.0,92.0,5.2,153.0,Mighty Morphin Power Rangers: The Movie,9070,1,0.4005
2,2.466066,1.0,95.0,6.4,36.0,Mute Witness,48787,3,0.3931
22000000,13.304342000000002,110627965.0,114.0,5.6,359.0,The Net,1642,3,0.3294
0,8.482834,69660733.0,103.0,5.5,171.0,Nine Months,11472,1,0.4059
8,10.187623,16.0,98.0,6.4,139.0,The Prophecy,11980,3,0.3847
0,8.180047,0.0,119.0,7.2,62.0,Safe,32646,0,0.4334
50000000,6.752119,10382407.0,135.0,5.5,111.0,The Scarlet Letter,10533,2,0.3492
45000000,17.502375,20350754.0,128.0,4.9,261.0,Showgirls,10802,1,0.4096
7000000,5.5529459999999995,8349430.0,112.0,7.2,115.0,Smoke,10149,0,0.4076
0,3.743212,50892160.0,106.0,5.7,60.0,Something to Talk About,18402,3,0.4004
35000000,13.492845,113374103.0,108.0,5.5,457.0,Species,9348,1,0.3168
42000000,11.223055,7959291.0,145.0,6.8,334.0,Strange Days,281,0,0.3192
0,8.133881,0.0,91.0,7.6,119.0,The Umbrellas of Cherbourg,5967,0,0.48
0,4.546551999999999,339889.0,111.0,6.5,112.0,Total Eclipse,36834,3,0.3881
0,7.653446000000001,47774193.0,105.0,6.3,117.0,"To Wong Foo, Thanks for Everything! Julie Newmar",9090,3,0.3763
60000000,7.490247,104324083.0,100.0,5.6,217.0,Under Siege 2: Dark Territory,3512,2,0.3235
20000000,9.715639,50012507.0,103.0,6.5,168.0,A Walk in the Clouds,9560,3,0.3245
175000000,16.885184,264218220.0,135.0,5.9,1017.0,Waterworld,9804,2,0.8507
2800000,2.4860729999999998,2616503.0,135.0,6.7,35.0,Burnt by the Sun,50797,3,0.3952
0,3.5256489999999996,763847.0,113.0,7.7,45.0,Before the Rain,19155,0,0.4984
2500000,11.304979,5535405.0,105.0,7.7,984.0,Before Sunrise,76,0,0.4511
10000000,6.638116,26488734.0,89.0,6.2,464.0,Billy Madison,11017,3,0.3368
21000000,3.030309,23450000.0,115.0,6.3,48.0,Boys on the Side,9382,3,0.3336
0,2.686342,0.0,97.0,7.2,58.0,The Cure,6715,0,0.4353
0,2.2697700000000003,0.0,95.0,5.8,40.0,Castle Freak,18256,3,0.4065
27000,10.513367,3151130.0,92.0,7.4,769.0,Clerks,2292,0,0.4243
25000000,7.438934,22200000.0,97.0,6.3,184.0,Don Juan DeMarco,1909,3,0.3188
55000000,11.812244,214015089.0,123.0,5.9,217.0,Disclosure,8984,2,0.3005
45000000,9.579155,0.0,101.0,5.1,91.0,Drop Zone,4954,1,0.3922
0,5.484156,0.0,103.0,7.1,92.0,Death and the Maiden,10531,0,0.4223
0,5.8025,0.0,132.0,7.1,183.0,Dolores Claiborne,11929,0,0.4202
16000000,9.844558000000001,247275374.0,107.0,6.5,1894.0,Dumb and Dumber,8467,3,0.3048
0,4.860016000000001,7294403.0,123.0,7.5,76.0,Eat Drink Man Woman,10451,0,0.4672
0,5.378467,0.0,103.0,6.5,64.0,Exotica,20156,3,0.3911
18000000,11.720358000000001,5887457.0,127.0,7.3,639.0,Ed Wood,522,0,0.3696
0,9.146544,0.0,111.0,6.2,179.0,French Kiss,397,3,0.3818
0,16.236745000000003,0.0,101.0,6.1,38.0,Forget Paris,10525,3,0.3923
0,10.177977,35348597.0,78.0,6.7,404.0,A Goofy Movie,15789,3,0.3778
0,4.953936,0.0,96.0,6.6,48.0,Fluke,21183,3,0.3958
700000,9.47666,7830611.0,171.0,7.7,91.0,Hoop Dreams,14275,0,0.5155
5000000,9.438042,3049135.0,99.0,6.9,299.0,Heavenly Creatures,1024,0,0.3792
120,7.983666,0.0,121.0,6.9,90.0,Immortal Beloved,13701,0,0.4072
0,9.546707000000001,17689177.0,100.0,6.0,97.0,Heavyweights,14819,3,0.388
25000000,5.146351999999999,0.0,100.0,5.9,112.0,I.Q.,11777,3,0.3365
60000000,11.970205,223664608.0,123.0,7.2,1558.0,Interview with the Vampire,628,2,0.313
60000000,6.710215,37000000.0,109.0,4.7,381.0,Junior,6280,1,0.4382
0,9.195256,0.0,102.0,6.0,124.0,Just Cause,9061,3,0.3898
0,5.874511,0.0,89.0,4.3,40.0,A Kid in King Arthur's Court,37108,1,0.6151
40000000,7.797511999999999,0.0,101.0,5.7,83.0,Kiss of Death,6071,3,0.3343
11000000,42.149696999999996,775398007.0,121.0,8.1,6778.0,Star Wars,11,4,1.4961
18000000,9.774994,0.0,115.0,7.0,222.0,Little Women,9587,0,0.3591
17000000,7.731725,0.0,97.0,7.4,207.0,A Little Princess,19101,0,0.4026
2000000,4.126083,21665468.0,105.0,6.6,70.0,Like Water for Chocolate,18183,3,0.383
30000000,12.199047,160638883.0,133.0,7.2,636.0,Legends of the Fall,4476,0,0.3256
0,9.253362,0.0,95.0,6.1,164.0,Major Payne,11008,3,0.3856
0,1.8612919999999997,0.0,98.0,6.4,31.0,Little Odessa,47504,3,0.3932
0,4.81307,0.0,107.0,6.7,67.0,The Madness of King George,11318,3,0.3974
45000000,14.287753,112006296.0,123.0,6.1,272.0,Mary Shelley's Frankenstein,3036,2,0.2889
0,2.558118,0.0,96.0,5.1,40.0,Man of the House,40490,1,0.4724
15000000,2.899608,0.0,97.0,5.2,37.0,Mixed Nuts,24070,1,0.419
0,3.770115,18137661.0,108.0,5.6,49.0,Milk Money,8986,3,0.4139
0,5.831622,46264384.0,114.0,6.4,199.0,Miracle on 34th Street,10510,3,0.3728
0,9.518564,17381942.0,122.0,6.9,140.0,Murder in the First,8438,0,0.4007
0,2.891269,0.0,110.0,7.0,56.0,Nobody's Fool,11593,0,0.4168
31000000,5.930957,106683817.0,112.0,6.1,128.0,Nell,1945,3,0.305
34000000,11.226856,50282766.0,119.0,6.9,927.0,Natural Born Killers,241,0,0.2948
0,4.936761,0.0,115.0,6.4,92.0,Only You,9058,3,0.3879
0,4.025276,2201126.0,99.0,7.6,106.0,Once Were Warriors,527,0,0.4798
0,6.448039,0.0,106.0,4.6,32.0,Poison Ivy II: Lily,18220,1,0.5513
50000000,13.676444,189859560.0,127.0,6.4,522.0,Outbreak,6950,2,0.2754
16000000,20.477329,45284974.0,110.0,8.2,4293.0,Leon: The Professional,101,0,0.7271
8000000,140.95023600000002,213928762.0,154.0,8.3,8670.0,Pulp Fiction,680,4,2.1974
0,1.881932,4176932.0,98.0,6.4,32.0,Priest,40156,3,0.3922
0,7.772505000000001,0.0,133.0,7.1,262.0,Quiz Show,11450,0,0.4158
0,4.405405,0.0,162.0,7.0,67.0,Queen Margot,10452,0,0.434
32000000,7.54701,18552460.0,107.0,6.2,431.0,The Quick and the Dead,12106,3,0.2981
15000000,6.2594330000000005,11300653.0,133.0,5.3,33.0,Prêt-à-Porter,3586,1,0.4072
0,7.832755000000001,0.0,99.0,7.8,246.0,Three Colors: Red,110,0,0.5024
0,8.843517,0.0,98.0,7.7,311.0,Three Colors: Blue,108,0,0.483
0,6.5898,0.0,91.0,7.3,218.0,Three Colors: White,109,0,0.4365
35000000,8.910461999999999,9771658.0,89.0,6.5,251.0,The Swan Princess,22586,3,0.3097
45000000,10.388183,170362582.0,110.0,5.5,317.0,The Specialist,2636,2,0.317
55000000,13.328923999999999,196567262.0,121.0,6.8,942.0,Stargate,2164,2,0.2777
22000000,9.665424,189833357.0,97.0,6.3,501.0,The Santa Clause,11395,3,0.295
25000000,51.645403,28341469.0,142.0,8.5,8358.0,The Shawshank Redemption,278,4,1.8504
0,8.223025999999999,0.0,92.0,7.0,247.0,Shallow Grave,9905,0,0.4063
0,5.869261,0.0,101.0,6.7,104.0,Swimming with Sharks,20306,3,0.3952
0,5.2606269999999995,0.0,125.0,7.7,62.0,To Live,31439,0,0.4986
25000000,7.602086999999999,4064495.0,98.0,5.5,140.0,Tank Girl,9067,1,0.3605
0,9.455342,0.0,92.0,6.7,96.0,Tales from the Crypt: Demon Knight,9059,3,0.3966
38000000,8.105708,120000000.0,118.0,6.4,461.0,Star Trek: Generations,193,2,0.2797
6000000,2.86007,12000000.0,98.0,5.4,33.0,Tales from the Hood,25066,1,0.4169
0,6.529879,0.0,99.0,5.6,165.0,Village of the Damned,12122,3,0.4105
0,11.971318,32648673.0,97.0,6.8,321.0,Tommy Boy,11381,0,0.3817
11000000,10.3919,10032765.0,118.0,7.5,943.0,What's Eating Gilbert Grape,1587,0,0.3993
30000000,5.1883989999999995,24048000.0,106.0,5.4,163.0,Virtuosity,9271,1,0.358
17000000,15.783615,182057016.0,103.0,6.5,340.0,While You Were Sleeping,2064,3,0.3127
0,3.9085959999999997,0.0,126.0,6.3,39.0,The War,19855,3,0.3926
3000000,5.254847,15119639.0,106.0,6.9,104.0,Muriel's Wedding,236,0,0.3936
15000000,11.247957000000001,107217396.0,86.0,6.4,1684.0,Ace Ventura: Pet Detective,3049,3,0.3014
0,8.328596000000001,11220670.0,104.0,7.2,174.0,"The Adventures of Priscilla, Queen of the Desert",2759,0,0.4239
0,2.487951,0.0,100.0,6.2,37.0,Backbeat,12635,3,0.3924
5000000,11.298195,1862805.0,139.0,7.0,115.0,Bitter Moon,10497,0,0.4018
0,5.72288,0.0,98.0,7.0,130.0,Bullets Over Broadway,11382,0,0.4123
62000000,7.5132449999999995,215887717.0,141.0,6.4,390.0,Clear and Present Danger,9331,2,0.2952
45000000,15.263829000000001,117615211.0,119.0,6.4,287.0,The Client,10731,2,0.2854
0,6.924689,0.0,115.0,6.4,83.0,"Corrina, Corrina",10464,3,0.3879
0,2.5330220000000003,0.0,115.0,6.7,31.0,Crooklyn,34152,3,0.4006
15000000,15.799335999999998,94000000.0,102.0,7.3,980.0,The Crow,9495,0,0.3525
46000000,15.019585999999999,341631208.0,91.0,5.0,559.0,The Flintstones,888,1,0.3866
55000000,48.307194,677945399.0,142.0,8.2,8147.0,Forrest Gump,13,4,1.8464
6000000,8.990345,254700832.0,117.0,6.6,654.0,Four Weddings and a Funeral,712,3,0.3346
0,7.817811,38290723.0,127.0,6.4,49.0,Higher Learning,16295,3,0.3845
45000000,3.570874,61947267.0,123.0,5.3,41.0,I Love Trouble,10879,1,0.3622
0,11.272072999999999,0.0,101.0,6.1,154.0,It Could Happen to You,10660,3,0.3851
0,10.714235,0.0,111.0,5.9,107.0,The Jungle Book,10714,3,0.3943
45000000,21.605760999999998,788241776.0,89.0,8.0,5520.0,The Lion King,8587,4,1.1222
35000000,5.681522,4858139.0,140.0,6.0,76.0,Little Buddha,1689,3,0.328
14000000,9.860522,18090181.0,112.0,6.4,297.0,New Nightmare,11596,3,0.3334
23000000,14.134879999999999,351583407.0,101.0,6.6,2550.0,The Mask,854,2,0.3435
0,15.050326,0.0,127.0,6.6,490.0,Maverick,9359,3,0.3729
30000000,10.587232,51132598.0,83.0,6.4,535.0,The Naked Gun 33⅓: The Final Insult,36593,3,0.2944
6000000,4.006063,0.0,112.0,6.1,40.0,The Paper,12280,3,0.3749
11500000,6.5145919999999995,20079850.0,99.0,6.5,180.0,Reality Bites,2788,3,0.3479
8000000,5.137903,2000000.0,98.0,6.4,71.0,Red Rock West,10427,3,0.3657
40000000,6.595255,0.0,95.0,5.4,426.0,Ri¢hie Ri¢h,11011,1,0.3423
45000000,10.511241,0.0,111.0,6.1,214.0,The River Wild,8987,3,0.3067
30000000,10.859292,350448145.0,116.0,6.8,1814.0,Speed,1637,2,0.3091
27000000,8.907074,101646581.0,99.0,5.5,288.0,Timecop,8831,1,0.335
115000000,11.396099000000001,378882411.0,141.0,6.8,1138.0,True Lies,36955,2,0.4695
0,4.322544000000001,50021959.0,126.0,6.0,71.0,When a Man Loves a Woman,10449,3,0.3865
0,14.063845,0.0,125.0,6.0,221.0,Wolf,10395,3,0.3854
63000000,9.277147,25052000.0,191.0,6.5,203.0,Wyatt Earp,12160,2,0.3555
10000000,3.0215259999999997,29392418.0,100.0,6.0,31.0,A Low Down Dirty Shame,26352,3,0.3626
45000,4.220541000000001,0.0,83.0,6.5,59.0,"Faster, Pussycat! Kill! Kill!",315,3,0.3957
35000000,13.584489999999999,99423521.0,102.0,4.1,330.0,Street Fighter,11667,1,0.5572
26000000,6.8666339999999995,36800000.0,99.0,4.5,110.0,Highlander: The Final Dimension,8011,1,0.4991
8000000,8.497643,8946600.0,95.0,7.1,307.0,In the Mouth of Madness,2654,0,0.3855
0,4.38154,0.0,96.0,6.7,40.0,Above the Rim,19092,3,0.4003
0,17.555909,48919043.0,94.0,6.5,537.0,Addams Family Values,2758,3,0.359
34000000,8.013617,32255440.0,139.0,7.0,172.0,The Age of Innocence,10436,0,0.3389
0,7.09232,0.0,92.0,5.8,222.0,Airheads,13595,3,0.395
17080000,1.8962729999999999,21011500.0,107.0,5.1,42.0,The Air Up There,46094,1,0.4224
0,12.967239,0.0,105.0,4.9,58.0,Another Stakeout,9409,1,0.4974
0,14.644772,15240435.0,99.0,4.6,61.0,Bad Girls,11853,1,0.5463
0,5.673735,0.0,93.0,5.0,86.0,The Beverly Hillbillies,11041,1,0.4831
50000000,11.787784,119208989.0,104.0,5.5,445.0,Beverly Hills Cop III,306,2,0.3129
0,8.398845,0.0,88.0,6.6,68.0,Black Beauty,14522,3,0.3956
0,3.0028200000000003,16668552.0,106.0,6.3,45.0,Blink,26203,3,0.3873
0,13.155071,30156002.0,121.0,6.0,126.0,Blown Away,178,3,0.3842
0,6.131056,0.0,108.0,5.7,41.0,Blue Chips,19819,3,0.4102
13000000,6.559692999999999,428868.0,87.0,5.8,102.0,Body Snatchers,4722,3,0.3672
0,4.304224,1796389.0,107.0,4.5,59.0,Boxing Helena,18215,1,0.5692
22000000,6.115628,17287898.0,121.0,7.4,447.0,A Bronx Tale,1607,0,0.3784
30000000,8.698509,36516012.0,144.0,7.7,805.0,Carlito's Way,6075,0,0.3995
0,8.605703,0.0,116.0,4.9,103.0,City Slickers II: The Legend of Curly's Gold,11310,1,0.4952
70000000,9.830853,255000211.0,112.0,6.1,600.0,Cliffhanger,9350,2,0.2958
0,10.722729,0.0,88.0,4.8,228.0,Coneheads,9612,1,0.5064
40000000,14.228963,19726050.0,121.0,5.4,117.0,Color of Night,2124,1,0.3534
0,7.042878,0.0,93.0,5.0,36.0,Cops & Robbersons,26261,1,0.4859
0,4.286279,0.0,102.0,5.1,38.0,The Cowboy Way,19176,1,0.4712
0,13.696394,63000000.0,110.0,6.3,205.0,Dave,11566,3,0.3686
6900000,6.8652,7993039.0,102.0,7.4,588.0,Dazed and Confused,9571,0,0.4074
57000000,11.626116,159055768.0,115.0,6.4,1018.0,Demolition Man,9739,2,0.2635
0,3.555139,0.0,91.0,5.4,37.0,Fatal Instinct,26141,1,0.4382
0,4.875826999999999,0.0,171.0,7.8,98.0,Farewell My Concubine,10997,0,0.5359
0,9.284624,0.0,122.0,6.8,80.0,Fearless,10443,0,0.4018
0,2.969003,0.0,103.0,6.1,54.0,With Honors,16297,3,0.3926
30000000,8.468869,11146270.0,94.0,5.7,77.0,For Love or Money,9024,3,0.3412
42000000,9.678367,270248367.0,154.0,6.6,513.0,The Firm,37233,2,0.2982
20000000,5.990572,153698625.0,112.0,6.0,429.0,Free Willy,1634,3,0.3062
0,3.970215,0.0,114.0,7.6,56.0,Fresh,13815,0,0.4829
44000000,10.089369999999999,368875760.0,130.0,7.2,1240.0,The Fugitive,5503,2,0.3311
35000000,4.653462,18635620.0,115.0,5.9,44.0,Geronimo: An American Legend,35588,3,0.3254
0,14.214402999999999,30.0,115.0,5.4,81.0,The Getaway,2087,1,0.4322
30000000,2.410545,0.0,109.0,4.5,43.0,Getting Even with Dad,41579,1,0.5057
18000000,7.834351,74189677.0,97.0,6.1,237.0,Hard Target,2019,3,0.3223
33000000,4.1905410000000005,0.0,140.0,6.4,51.0,Heaven & Earth,31642,3,0.3281
25000000,13.482370999999999,133752825.0,86.0,6.2,463.0,Hot Shots! Part Deux,9255,3,0.295
0,5.331753,0.0,99.0,6.1,83.0,The Englishman Who Went Up a Hill But Came Down a Mountain,10612,3,0.3905
25000000,10.687795,0.0,140.0,6.7,135.0,The House of the Spirits,2259,3,0.3397
30000000,7.550545,0.0,111.0,7.1,280.0,The Hudsucker Proxy,11934,0,0.3457
0,6.071466,28881266.0,91.0,4.7,54.0,In the Army Now,12475,1,0.5281
40000000,12.637158,176997168.0,128.0,6.8,392.0,In the Line of Fire,9386,2,0.295
13000000,7.405895,65796862.0,133.0,7.6,363.0,In the Name of the Father,7984,0,0.4215
0,14.820882999999998,0.0,118.0,6.9,75.0,What's Love Got to Do with It,15765,0,0.4074
0,5.538671,12136938.0,110.0,6.4,79.0,Judgment Night,6,3,0.3858
63000000,8.863776,920100000.0,127.0,7.6,4956.0,Jurassic Park,329,4,1.0677
9000000,8.4337,2395231.0,117.0,6.5,209.0,Kalifornia,10909,3,0.3555
1500000,4.948569,418961.0,96.0,6.1,111.0,Killing Zoe,507,3,0.3845
0,4.3753470000000005,0.0,103.0,6.4,33.0,King of the Hill,34024,3,0.3917
0,3.645342,0.0,94.0,6.1,54.0,Lassie,29918,3,0.3936
85000000,9.434006,137298489.0,130.0,6.1,725.0,Last Action Hero,9593,2,0.3224
0,2.913584,0.0,98.0,5.7,40.0,Lightning Jack,22317,3,0.4119
0,6.5169760000000005,1499795.0,101.0,6.6,35.0,M. Butterfly,1413,3,0.3952
22000000,5.43085,0.0,111.0,5.3,86.0,Made in America,12121,1,0.3891
